"Species","L.Occ","R.Occ","Fire.Included","Type","deltaAIC","Weight","Rsquared","Intercept","Data.Type","Elevation.m","Fires","Data.Type.Elevation.m","Elevation.m.Fires","Data.Type.Fires","Elevation.m2","Data.Type.Elevation.m2","Elevation.m2.Fires","Data.Type.Elevation.m.Fires","Data.Type.Elevation.m2.Fires"
"PAMY",127,138,"Yes","Unavg",0,0.288040654748427,0.0600306530030837,-1.47653335409142,NA,0.00290471111055393,0.389255074302711,NA,0.000675506486766109,NA,-1.72585172868102e-06,NA,NA,NA,NA
"PAMY",127,138,"Yes","Unavg",0.00466216588313273,0.287369990082842,0.0579542219117718,-1.53282813660585,NA,0.0028859253237638,1.11791008875443,NA,NA,NA,-1.66382092916763e-06,NA,NA,NA,NA
"PAMY",127,138,"Yes","Unavg",1.23300317668964,0.155492895760751,0.0608251090854919,-1.54775646387282,0.139490942974902,0.00290740793350535,0.389885828961611,NA,0.000676044704515653,NA,-1.72745652525396e-06,NA,NA,NA,NA
"PAMY",127,138,"Yes","Unavg",1.23872699422816,0.155048525455754,0.0587475783343254,-1.60399217651772,0.139298191403314,0.00288859705119342,1.11913714625072,NA,NA,NA,-1.66537844960222e-06,NA,NA,NA,NA
"PAMY",127,138,"Yes","Unavg",1.85296559841777,0.114047933952226,0.060182951384394,-1.55691122465782,NA,0.00307782622572182,0.834933017865952,NA,-0.000316036956623934,NA,-1.80492272743427e-06,NA,4.30536656625273e-07,NA,NA
"PAMY",127,138,"Yes","Avg",NA,NA,NA,-1.5327147053164,0.0432878298313025,0.00291697693607827,0.762742524131535,NA,0.000263650117548271,NA,-1.70791706419897e-06,NA,4.91018161788114e-08,NA,NA
"PHEM",61,66,"No","Unavg",0,0.686432199837736,0.497296227216257,-37.6321944887606,NA,0.0409246712019994,NA,NA,NA,NA,-1.09029970613643e-05,NA,NA,NA,NA
"PHEM",61,66,"No","Unavg",1.56698370621694,0.313567800162264,0.497934420524387,-37.7614103556946,0.173281611634363,0.040969637072222,NA,NA,NA,NA,-1.09145198457703e-05,NA,NA,NA,NA
"PHEM",61,66,"No","Avg",NA,NA,NA,-37.6727124239012,0.0543355337687592,0.0409387710510075,NA,NA,NA,NA,-1.09066102355222e-05,NA,NA,NA,NA
"POMU",20,15,"No","Unavg",0,0.501888779928898,0.19794419117092,0.270215962738369,NA,-0.00409911997850124,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POMU",20,15,"No","Unavg",1.17351319374066,0.279114458816742,0.200875941412959,0.430724075378207,-0.331632010739146,-0.00410728702310796,NA,NA,NA,NA,NA,NA,NA,NA,NA
