"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi","P.Intercept","P.Elevation.m","P.Elevation.m2","P.Resurvey.Burned.fi","P.Resurvey.Unburned.fi","P.Elevation.m.Res.Burn.fi","P.Elevation.m.Res.Unburn.fi","P.Elevation.m2.Res.Burn.fi","P.Elevation.m2.Res.Unburn.fi"
"CEVE",54,26,19,"Yes","Global_unavg",0.12067921786583,-2.8463681881368,-17.3187334830163,-18.8379878475593,1.64436854675124,-0.753813983226243,7.54267654835994,12.0368370133712,-24.2180622172858,4.93650816015921,6.81045494175085e-25,0.0529415145912753,0.027724138957384,0.00390361176253718,0.103429710591482,0.663254087779859,0.406604997738955,0.234929597800805,0.737589615428695
"EPAN",54,18,28,"Yes","Global_unavg",0.116921641980094,-3.27081353062762,-1.48934084073626,-25.4282138865056,2.74048151167461,0.20630668715459,-6.10995827960794,6.51743416574632,18.5797175599093,24.1196558857399,2.32207809980863e-23,0.874926886211092,0.0184441783337346,2.14399814565679e-08,0.627041641551735,0.633675387084601,0.588710449652294,0.182183138655583,0.0669035431347747
"PAMY",54,127,105,"Yes","Global_unavg",0.056382529352884,-0.704733383418327,-10.7565459077929,-11.1839878274356,0.621161806876407,-0.439066778612504,2.2465493337331,-3.66022891253906,-4.96591163226358,-2.9836630719549,1.36431722698465e-09,0.0020200075243498,0.00143191711834115,0.10076975773526,0.0169667623321605,0.814646439930595,0.519902488301172,0.623157355083459,0.599648143590169
"VAME",54,95,109,"Yes","Global_unavg",0.0967097551436545,-1.2497967609378,11.6154249056715,-21.9268887701027,-2.31185345192967,0.307601494055734,55.6468060147624,-6.10954085496226,NA,NA,1.77184053082287e-20,0.00457880402527521,2.63227156674404e-12,0.0604630113819955,0.0845925939425091,0.0320062791471011,0.283865782597681,NA,NA
"ACMI",55,10,21,"Yes","Global_unavg",0.127011101458593,-3.79745936398687,-17.9955825669525,-12.336152189076,2.69478889021112,0.128650011449536,22.2042888643459,44.2607787382654,8.72827674727686,10.3498433849553,8.34673697743565e-20,0.188848414916996,0.313261867879323,3.25195100883837e-06,0.830029717667628,0.178969663133904,0.0152061277557379,0.567713508335447,0.502959884465905
"ARUV",55,42,28,"Yes","Global_unavg",0.0502222494601845,-2.28040959202362,-21.5962761760837,-8.93718378183508,0.638685690920853,-0.392673845660061,9.55262433861943,22.5513833506142,3.48093362547577,2.71927461781816,5.07252544068528e-27,0.00192279766269448,0.131171399024461,0.223425775078201,0.206707512520718,0.502827501041234,0.0192961913070647,0.795180216031957,0.76455811995005
"CARU",55,33,22,"Yes","Global_unavg",0.0613502858544485,-2.50702889624271,-16.6485357093272,-12.7340878391658,0.679958558264109,-0.823995296636781,26.039387618479,-3.12563300845187,-2.81529480932093,-12.313594598452,1.42756004345832e-28,0.0234860878202895,0.0610342049335163,0.228525587189708,0.0701095212734805,0.104059805643443,0.828972372436599,0.859212031325586,0.380079725822539
"CEVE",55,26,23,"Yes","Global_unavg",0.126340384656696,-2.8463681881368,-17.3187334830163,-18.8379878475593,1.74968548956865,-0.595728831970265,2.8953905320225,15.9475406957487,-30.6734920484813,-2.42664940982126,6.81045494175324e-25,0.0529415145912755,0.0277241389573841,0.00255582057283688,0.19300767367717,0.870530062036214,0.253134814111664,0.150453406533387,0.868869990828859
"EPAN",55,18,26,"Yes","Global_unavg",0.106102473145878,-3.27081353062762,-1.48934084073626,-25.4282138865056,2.42983709522856,0.170443699765948,-16.2233819533173,-2.4276405060522,14.7854992332556,17.6036345047663,2.32207809980892e-23,0.874926886211092,0.0184441783337347,2.53698212222164e-06,0.692819627253919,0.264338267767811,0.848320311681733,0.330444531609257,0.203451873244779
"PAMY",55,127,107,"Yes","Global_unavg",0.0419303693427044,-0.704733383418326,-10.7565459077929,-11.1839878274356,0.435351346006642,-0.3284016678084,-1.40477570871671,1.0688364714439,11.3481189856336,2.88352982317946,1.36431722698471e-09,0.00202000752434979,0.00143191711834116,0.248534453721019,0.0602327772242201,0.873917436227848,0.838858440311569,0.202644286311665,0.584767176621724
"VAME",55,95,118,"Yes","Global_unavg",0.110233721266265,-1.27883286906469,11.9971539441871,-23.9618967930814,-1.62937616914054,0.418670141876198,52.5356023787154,-6.33029099268158,NA,NA,8.69134148995037e-21,0.00416403059450203,5.32691179570396e-14,0.0970827338872176,0.0189604658415008,0.0149648759973669,0.270819678684388,NA,NA
