"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"CLUN",100,44,50,"No","Unavg",0.138389337210448,-6.97764874765314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COCA",100,20,22,"No","Unavg",0.0942577634743494,-3.57023759073548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EPAN",100,18,26,"Yes","Unavg",0.0952166519997951,-3.09266111404493,0.349617193755153,-15.3122853142694,NA,NA,NA,2.3728015887907,-0.0956769297409036,NA,NA,NA,NA
"GAOV",100,11,9,"No","Unavg",0.0968564715655931,-12.4878317113256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GASH",100,21,22,"No","Unavg",0.189440741295913,-0.981504705488016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOOB",100,20,40,"No","Unavg",0.11792108873486,-5.41779438879195,NA,NA,0.791968980541312,NA,NA,NA,NA,NA,NA,NA,NA
"GYDR",100,17,25,"No","Unavg",0.0568333418143709,-4.10518982293337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIAL",100,12,8,"No","Unavg",0.0552963275109856,-2.67696871224425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HODI",100,17,9,"No","Unavg",0.159221617529332,-4.87627969256251,-79.7425086773679,-22.640295737122,-0.680868989889852,NA,NA,NA,NA,NA,NA,NA,NA
"LIBO",100,48,64,"No","Unavg",0.202553604554063,-5.08713651349785,NA,NA,0.398849671032187,NA,NA,NA,NA,NA,NA,NA,NA
"MANE",100,61,58,"No","Unavg",0.260981756981436,-3.89876816099481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEFE",100,26,16,"No","Unavg",0.043599210634823,-4.18447779350176,NA,NA,-5.78601209226797,NA,NA,NA,NA,NA,NA,NA,NA
"OPHO",100,29,16,"No","Unavg",0.133579542688581,-0.47669435070512,NA,NA,-7.26420043350833,NA,NA,NA,NA,NA,NA,NA,NA
"PAMY",100,127,100,"Yes","Unavg",0.0455921452852447,-0.698715634199251,-11.5023706115511,-9.15137917851763,NA,NA,NA,0.418624172184573,-0.447710920835946,NA,NA,NA,NA
"POMU",100,20,11,"No","Unavg",0.211361837032005,0.520530286492692,NA,NA,-0.678386507984444,NA,NA,NA,NA,NA,NA,NA,NA
"PTAQ",100,47,17,"No","Unavg",0.11734562788235,-2.90393047224064,NA,NA,-1.14164858664119,NA,NA,NA,NA,NA,NA,NA,NA
"RULA",100,18,10,"No","Unavg",0.19297890206005,-24.3560152837283,NA,NA,-0.645077472523105,NA,NA,NA,NA,NA,NA,NA,NA
"RUPA",100,33,20,"No","Unavg",0.109014042094637,-5.57685738234003,NA,NA,-0.555464000010989,NA,NA,NA,NA,NA,NA,NA,NA
"RUPE",100,23,23,"No","Unavg",0.03962254216712,-6.99702112284176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUSP",100,15,22,"No","Unavg",0.0592599020721291,-2.06022529694919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
