"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi","P.Intercept","P.Elevation.m","P.Elevation.m2","P.Resurvey.Burned.fi","P.Resurvey.Unburned.fi","P.Elevation.m.Res.Burn.fi","P.Elevation.m.Res.Unburn.fi","P.Elevation.m2.Res.Burn.fi","P.Elevation.m2.Res.Unburn.fi","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Resurvey.Burned.fi.CI.Lower","Resurvey.Unburned.fi.CI.Lower","Elevation.m.Res.Burn.fi.CI.Lower","Elevation.m.Res.Unburn.fi.CI.Lower","Elevation.m2.Res.Burn.fi.CI.Lower","Elevation.m2.Res.Unburn.fi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Resurvey.Burned.fi.CI.Upper","Resurvey.Unburned.fi.CI.Upper","Elevation.m.Res.Burn.fi.CI.Upper","Elevation.m.Res.Unburn.fi.CI.Upper","Elevation.m2.Res.Burn.fi.CI.Upper","Elevation.m2.Res.Unburn.fi.CI.Upper"
"CEVE",35,26,22,"Yes","Global_unavg",0.109522193791421,-5.08928088184929,0.00641493450085319,-3.33669831467709e-06,-3.13305588547819,-2.43097611024867,0.00929628814080067,0.00222176638571582,-3.76515714390143e-06,-4.29822816618476e-07,0.00138474566846388,0.0470641172441156,0.0277241389573842,0.423430178984369,0.429373656141938,0.229101127614136,0.7036383598905,0.276684734127051,0.868869990828862,-8.58092444827793,0.000669463108403562,-6.68830105731212e-06,-12.4774973559299,-9.1138498978965,-0.00423103058427413,-0.00873125438431349,-1.17002701287764e-05,-5.94982054024765e-06,-2.28833703316897,0.0134502957148086,-6.83266461682251e-07,3.58299909321295,3.22610928295941,0.0272326316563595,0.0146387206922898,2.34686545375696e-06,4.50606706758963e-06
"EPAN",35,18,27,"Yes","Global_unavg",0.117117082990601,-8.16025716098574,0.0103392904760859,-4.5039989996248e-06,5.43411893393917,3.85394814683633,-0.0046533054046876,-0.00865557903345399,1.62551804765381e-06,4.05614846380249e-06,0.000618221618005719,0.0185460803540092,0.0184441783337357,0.0808387210848844,0.203630619781248,0.44483277158963,0.117268823572807,0.546038204019944,0.0843205511557294,-13.5599775865793,0.00272760451614488,-8.79618021491041e-06,-0.568252554350255,-2.01280260693273,-0.0170205859452738,-0.0201421931966606,-3.72700467011664e-06,-3.78579957170421e-07,-4.10619760538373,0.0201384338286047,-1.21377592349432e-06,11.9083106151067,10.1609372372621,0.00731297094197219,0.00189957836081608,7.05952886237335e-06,8.99727574695812e-06
"PAMY",35,127,105,"Yes","Global_unavg",0.04334144115536,-1.9959706605521,0.00377207808835838,-1.98097554989177e-06,0.30805158173564,0.277319383366734,0.000472266441239673,-0.00135158933050023,-2.60769999459325e-07,6.01049702400498e-07,0.00485699421790771,0.00718982264749486,0.00143191711834113,0.874018246046334,0.794769705262548,0.907208377763052,0.521678946542303,0.88422266873349,0.52015212181314,-3.43116064776238,0.00109371303420321,-3.24589261580751e-06,-3.7251673344093,-1.8319195643976,-0.00716521264140873,-0.00547681717273266,-4.09045619759965e-06,-1.24830703215447e-06,-0.643072871010523,0.00661139240119507,-8.02933915027352e-07,4.03372256179018,2.36081005277706,0.00896267874490013,0.00281543190773293,3.04433662307758e-06,2.42759901868453e-06
"VAME",35,95,115,"Yes","Global_unavg",0.105238727936841,-6.89768504248891,0.010531643681675,-4.14433301216423e-06,-6.16038086314237,1.15859908117412,0.00375884038441008,-0.000678489519992325,NA,NA,6.37507465578401e-17,3.23896496883084e-14,1.74264852958814e-13,0.0444453410102858,0.0324233026468676,0.0432420195587723,0.123900195567565,NA,NA,-8.58708030681804,0.00790563620618954,-5.28684728557825e-06,-13.4198381895821,0.106087280675357,0.000626316234129022,-0.00155263352436717,NA,NA,-5.34775725611306,0.0133522002411856,-3.07911740918498e-06,-1.33206637825598,2.23516853614494,0.00797785818942668,0.00018056971365091,NA,NA
"ACMI",36,10,17,"Yes","Global_unavg",0.161554095505926,-4.70020340998568,0.00369005418295728,-2.18505391062237e-06,3.06290579913435,-12.0557891367441,-0.00180916278508371,0.0134903813804419,1.14144323659757e-06,-3.04699134080237e-06,0.032570747414766,0.419621658018008,0.313296208874147,0.298502610262514,0.178476384595709,0.76647067537295,0.286696554076747,0.681429461092102,0.499551185846999,-9.84042152933587,-0.00413231837415903,-7.33272483522204e-06,-2.6232821019214,-36.5920053018122,-0.0145993402892763,-0.00662731915622791,-4.13474925217456e-06,-1.41088780370218e-05,-1.03092578865193,0.014238407454545,1.41720870815333e-06,9.26985894010486,0.768377309953776,0.0098871149661796,0.0463261888093534,7.13299091735517e-06,4.85479377583011e-06
"ARUV",36,42,30,"Yes","Global_unavg",0.0467217966358248,-2.20636439905747,0.00201633190538508,-1.58300803164986e-06,0.512778862035679,-1.81757856228289,-0.000697744674983038,0.000804267495651499,6.1656401180518e-07,4.27820788850883e-07,0.032083204251479,0.35749706080234,0.131171399024454,0.835743648507465,0.316150734749637,0.894456616376856,0.820097954564875,0.795180216031946,0.785832765801201,-4.37493698331614,-0.00203988723818496,-3.82729929215352e-06,-4.88343926114443,-5.56893116676842,-0.01070027224451,-0.00603561360417686,-4.53611896695735e-06,-2.71767434560202e-06,-0.308431648525698,0.00661628393301804,3.19594585156144e-07,5.12989916553924,1.61734887330942,0.0104854658209688,0.00795112124104418,5.05044863806093e-06,3.52253686467656e-06
"CARU",36,33,20,"Yes","Global_unavg",0.0685295833985126,-3.60285653327252,0.00395704852729322,-2.25553863691441e-06,-2.09040149695584,-4.55538226867844,0.00315620902123927,0.00729999467717119,-4.98662039788804e-07,-3.12825294389075e-06,0.00408410628663271,0.124636408872536,0.061034204933518,0.572159153647841,0.126422468191979,0.640481826498053,0.216510601047485,0.859212031325581,0.25558968225654,-6.29815334346128,-0.000731359048265923,-4.86227852131612e-06,-11.4959597891089,-11.1608583446477,-0.00868118789033236,-0.00329210981542218,-7.15143543191845e-06,-9.25484156723846e-06,-1.34202157314441,0.00945104054212773,-9.89516882745742e-08,4.03590427997535,0.741300798437868,0.0194508922815926,0.0202891902173374,4.50938495854574e-06,1.77006701450926e-06
"CEVE",36,26,20,"Yes","Global_unavg",0.122613139682342,-5.08928088184932,0.00641493450085325,-3.33669831467711e-06,-3.77464630763667,-3.59616195398993,0.0105351083055812,0.00364799159101092,-4.28964961858339e-06,-8.74959805880655e-07,0.00138474566846375,0.0470641172441135,0.0277241389573828,0.360158522094946,0.303972484444781,0.193166353087854,0.571710827856855,0.234929597800811,0.756179779009525,-8.5809244482779,0.000669463108403581,-6.68830105731214e-06,-13.7344293700047,-11.4504219797481,-0.00345856581440395,-0.00816959161495807,-1.26574876361396e-05,-6.9858973289787e-06,-2.28833703316898,0.0134502957148086,-6.8326646168226e-07,3.2017955320589,2.63961895539036,0.0295327247934235,0.0177280815938762,2.01716758128982e-06,4.35946988582013e-06
"EPAN",36,18,21,"Yes","Global_unavg",0.115830960028709,-8.1602571609858,0.0103392904760859,-4.50399899962479e-06,6.58619973566974,-0.334904872507091,-0.00799204713333577,-0.00123064096155386,3.16052456639769e-06,9.1059656430799e-07,0.0006182216180057,0.0185460803540086,0.0184441783337349,0.0314233555893651,0.93155989480172,0.178215735008628,0.858921521120333,0.22296672906662,0.754935900988673,-13.5599775865794,0.00272760451614482,-8.79618021491046e-06,0.745632563780859,-8.69806458527404,-0.020185593182685,-0.0146477995066979,-1.91210209838202e-06,-5.13314067332554e-06,-4.10619760538373,0.0201384338286047,-1.21377592349431e-06,12.9986638544504,7.12474445546477,0.00350467731208022,0.0132425216752944,8.47340687797416e-06,6.62686224410143e-06
"PAMY",36,127,110,"Yes","Global_unavg",0.0475405878078088,-1.9959706605521,0.00377207808835839,-1.98097554989177e-06,1.58858321180299,0.170415074775657,-0.00137728585706603,-0.00110066727975253,5.64832262872935e-07,4.91625179311444e-07,0.00485699421790779,0.0071898226474949,0.00143191711834114,0.391670198690133,0.873317317147966,0.715541264676034,0.602641251862253,0.728473887032241,0.59983932257049,-3.43116064776239,0.00109371303420321,-3.24589261580752e-06,-2.10631604108742,-1.94519143546284,-0.00870767423029558,-0.00523327545821209,-2.82362716452221e-06,-1.36364554888174e-06,-0.643072871010522,0.00661139240119509,-8.02933915027334e-07,5.29083443214122,2.25806605094913,0.00633039580357945,0.0030780787547281,3.66386317640756e-06,2.32208561110441e-06
