"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Mod.ID","deltaAIC","Weight","Rsquared","Intercept","Data.Type","Elevation.m","Fires","Data.Type.Elevation.m","Elevation.m.Fires","Data.Type.Fires","Elevation.m2","Data.Type.Elevation.m2","Elevation.m2.Fires","Data.Type.Elevation.m.Fires","Data.Type.Elevation.m2.Fires"
"COCA",1,20,23,"No","Avg",NA,NA,NA,NA,-3.89461720613155,0.0467616694566152,0.00531886783359318,0,0,0,0,-3.91679963264483e-06,0,0,0,0
"COST",1,12,12,"No","Unavg","Mod.2",0,0.731053573545448,0.0975797166465887,-1.21837940208798,NA,-0.00245385591134788,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COST",1,12,12,"No","Unavg","Mod.3",1.99994908696502,0.268946426454552,0.0975799572706507,-1.21988352478892,0.00300641164814393,-0.00245385296400901,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COST",1,12,12,"No","Avg",NA,NA,NA,NA,-1.21878393051335,0.00080856366921965,-0.00245385511867163,0,0,0,0,0,0,0,0,0
"EPAN",1,18,24,"Yes","Unavg","Mod.1023",1.41220826070708,0.0941494955451325,0.133127725118392,-8.51795801858856,6.15873872520289,0.0106042655763482,-0.175248742412149,-0.0127290421227386,0.00440859769253778,0.349058190186222,-4.4886662156841e-06,5.46368808860743e-06,-3.48439913933111e-06,0.00240502823686045,NA
"EPAN",1,18,24,"Yes","Unavg","Mod.127",0.641484796359748,0.13841350657356,0.116898463309225,-8.30553131425161,4.92105518115478,0.0105474512274766,0.420706145967356,-0.00988187959187666,NA,2.18462716226687,-4.59684354858305e-06,4.1474394690568e-06,NA,NA,NA
"EPAN",1,18,24,"Yes","Unavg","Mod.207",0.510088986229789,0.147812345632102,0.111099177995406,-5.37026330996507,-0.297947376941769,0.00455762610376864,1.60989420944491,NA,-0.0012956418734821,2.51830975895731,-1.88074480652835e-06,NA,NA,NA,NA
"EPAN",1,18,24,"Yes","Unavg","Mod.255",0.369611801299925,0.158567778544963,0.123949308943917,-8.57227831124358,4.47377346533279,0.0108551997842306,1.77923322344418,-0.00951559688483107,-0.00129020333193731,2.21029324995504,-4.65352383560562e-06,4.18692193221078e-06,NA,NA,NA
"EPAN",1,18,24,"Yes","Unavg","Mod.463",1.84443295884256,0.0758510499408192,0.113165067200091,-4.75892636235106,-0.297562138727763,0.00335585748433319,-0.13362283141129,NA,0.00243270435293047,2.56777118853915,-1.36501839044617e-06,NA,-1.68288614355823e-06,NA,NA
"EPAN",1,18,24,"Yes","Unavg","Mod.511",0,0.190754646209007,0.131303490740804,-8.07206592542065,5.47106450771365,0.00993087957723056,-1.96004778368295,-0.0116712779361553,0.00609614304569565,2.60428402907483,-4.26215689128736e-06,5.11084400053588e-06,-3.27591828643313e-06,NA,NA
