"new_Model_id","X.Intercept.","AIC","logLik","Data.TypeResurvey","Elevation.m","Elevation.m2","Data.TypeResurvey.Elevation.m","Data.TypeResurvey.Elevation.m2","Model_id","Has_warning","Probability_warning","Converge_warning","Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","FiresBurned","Data.TypeResurvey.FiresBurned","Elevation.m.FiresBurned","Elevation.m2.FiresBurned","Data.TypeResurvey.Elevation.m.FiresBurned","Data.TypeResurvey.Elevation.m2.FiresBurned"
"Mod.447",-7.43337199101234,242.936308802246,-112.468154401123,2.65985278643513,0.00808377220566655,-3.93322884880987e-06,-0.00654627026302787,3.7726304395473e-06,"447",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",5.099320117395,NA,-0.00574955832146904,1.95204947331135e-06,NA,NA
"Mod.463",-5.14497781536209,242.354410297834,-113.177205148917,0.210243623787291,0.00229246832145683,-7.06660637822864e-07,NA,NA,"463",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",3.28866493254753,2.27782670502263,-0.00556521330813134,1.89584239717714e-06,NA,NA
"Mod.479",-4.54386571823943,236.505329251803,-109.252664625902,-3.63974670217604,0.00298679432682679,-1.70259624786107e-06,0.0031877319668206,NA,"479",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",4.47472535229697,3.87536231416197,-0.0086811133592001,2.65179048223554e-06,NA,NA
"Mod.511",-5.57008276647707,238.079225506681,-109.039612753341,-1.63704190800441,0.00525186159077861,-2.79336269107704e-06,-0.000736648751554649,1.72712556941877e-06,"511",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",4.11797868130459,3.42155353861021,-0.00736615637100585,2.15234871060433e-06,NA,NA
"Mod.55",-4.70020338140189,252.514509276341,-120.257254638171,2.33645081298123,0.0036900541100482,-2.18505386838453e-06,-0.00571142343159849,3.33044186081206e-06,"55",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",NA,NA,NA,NA,NA,NA
"Mod.6",-2.77103526778643,256.081098753096,-125.040549376548,NA,-0.00109952447926088,5.61167607505034e-07,NA,NA,"6",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",NA,NA,NA,NA,NA,NA
"Mod.63",-5.6080479707119,241.944966741054,-113.972483370527,2.39612979821067,0.00497915937864053,-2.76703170711348e-06,-0.00587124261924624,3.42701876528078e-06,"63",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",1.64555064366196,NA,NA,NA,NA,NA
"Mod.7",-3.19116835762867,254.513024470976,-123.256512235488,0.724692740025018,-0.00110263566401876,5.62806406531948e-07,NA,NA,"7",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",NA,NA,NA,NA,NA,NA
"Mod.73",-3.58042774583147,237.46839989734,-114.73419994867,0.210002022836998,NA,NA,NA,NA,"73",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",-0.00309119256647199,2.23853698272197,NA,NA,NA,NA
"Mod.731",-2.92008028534595,235.574147469299,-109.787073734649,-2.52426449376441,-0.000634634330505601,NA,0.00226455872287718,NA,"731",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",5.86146442290646,-1.28908252890787,-0.0114263339265203,NA,0.00956065712288002,NA
"Mod.735",-3.57515527810216,237.136161166367,-109.568080583184,-2.85266920579439,0.000799960294632281,-6.54558278130797e-07,0.00253544729882049,NA,"735",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",6.36024453596895,-1.4887072501177,-0.0122023533943077,NA,0.0101538283419363,NA
"Mod.75",-3.79538598717085,239.220084618941,-114.61004230947,0.209907882560377,0.000191107013128203,NA,NA,NA,"75",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",-0.0105268444090028,2.24116488535985,NA,NA,NA,NA
"Mod.767",-6.54440307604813,237.066896707371,-108.533448353685,1.33048246146704,0.00716591166443209,-3.62873742982e-06,-0.00594297751470784,3.78594737157593e-06,"767",TRUE,TRUE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",8.63198078205009,-4.12599818059516,-0.0156081947146852,NA,0.0137823591632151,NA
"Mod.79",-3.72163311832439,241.215014060362,-114.607507030181,0.209885465193463,4.17055556978509e-05,6.33684960560125e-08,NA,NA,"79",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",-0.0166421874716261,2.24130505642114,NA,NA,NA,NA
"Mod.8",-3.47041245067676,242.045127939014,-119.022563969507,NA,NA,NA,NA,NA,"8",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",1.61411446031106,NA,NA,NA,NA,NA
"Mod.9",-3.90446968958428,240.392265133926,-117.196132566963,0.742178943172485,NA,NA,NA,NA,"9",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",1.62718761059675,NA,NA,NA,NA,NA
"Mod.91",-2.64922918935716,237.526611236822,-112.763305618411,-1.55512440874478,-0.000919003828975043,NA,0.00162623736237078,NA,"91",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",-0.0119926564425766,2.23836922113332,NA,NA,NA,NA
