"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","P.Intercept","P.Elevation.m","P.Elevation.m2","P.Data.Type.nofi","P.Data.Type.Elevation.m.nofi","P.Data.Type.Elevation.m2.nofi","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper"
"HIAL",10,12,10,"No","Global_unavg",0.106143353113878,-4.02669500000193,NA,NA,2.14880178393555,NA,NA,0.0443764272189699,NA,NA,0.459469865847111,NA,NA,-8.69107777595734,NA,NA,-4.03439217793874,NA,NA,-0.659120807105194,NA,NA,7.95996270742026,NA,NA
"HODI",10,17,7,"No","Global_unavg",0.161367380912727,-4.50454384403838,-68.4687378242859,-22.4369403256358,-1.95441461013752,-28.3894953793251,NA,1.38821935223548e-06,0.0273680157667796,0.152232311153095,0.121268969638483,0.366834217863962,NA,-6.98709518861948,-149.16569204981,-60.5444509981645,-4.86330559524033,NA,NA,-3.20729478980472,-25.0600025560736,1.89965428802885,0.190381697748549,NA,NA
"LIBO",10,48,69,"No","Global_unavg",0.211365408296337,-5.43148845887472,NA,NA,0.915778394836744,NA,NA,0.000597052395487188,NA,NA,0.657950567127073,NA,NA,-8.88366542255837,NA,NA,-3.0852390003518,NA,NA,-2.63597778191246,NA,NA,5.12216140718257,NA,NA
"MANE",10,61,57,"No","Global_unavg",0.261030024747231,-4.21683721109432,NA,NA,0.528904406750679,NA,NA,0.00528476114015148,NA,NA,0.802855314950784,NA,NA,-7.47452486889835,NA,NA,-3.66828756263225,NA,NA,-1.50012035792552,NA,NA,4.7400661809393,NA,NA
"MEFE",10,26,12,"No","Global_unavg",0.0339532738268873,-4.18447779350177,NA,NA,-2.64446348885465,NA,NA,0.00344356145436986,NA,NA,0.354144533198539,NA,NA,-7.29749189217094,NA,NA,-8.90530284231099,NA,NA,-1.64042190070339,NA,NA,2.55809124803903,NA,NA
"OPHO",10,29,16,"No","Global_unavg",0.125111237919982,-0.476694350705136,NA,NA,-4.96484721748971,NA,NA,0.668298329761215,NA,NA,0.0398049196990734,NA,NA,-2.83464369929917,NA,NA,-10.3073579975937,NA,NA,1.59282312186695,NA,NA,-0.636933497862951,NA,NA
"POMU",10,20,9,"No","Global_unavg",0.194566360294188,0.903939942315825,NA,NA,-2.39333142702215,NA,NA,0.4595056242031,NA,NA,0.28633993322531,NA,NA,-1.69002434435425,NA,NA,-7.42710142871598,NA,NA,3.21354443484589,NA,NA,1.73003053172558,NA,NA
"PTAQ",10,47,18,"No","Global_unavg",0.120071969750536,-2.74106709139398,NA,NA,-0.24885741669356,NA,NA,0.0131693056519906,NA,NA,0.895488409585218,NA,NA,-5.08845187308507,NA,NA,-4.21838441314809,NA,NA,-0.719788328570175,NA,NA,3.33643743439033,NA,NA
"RULA",10,18,11,"No","Global_unavg",0.197298715918443,-27.1983603497135,NA,NA,3.68037458224168,NA,NA,0.00198926159982097,NA,NA,0.772627521616163,NA,NA,-48.6900296850372,NA,NA,-24.0297247138672,NA,NA,-13.7720262187336,NA,NA,29.5423735875923,NA,NA
"RUPA",10,33,22,"No","Global_unavg",0.120340874834555,-7.49810947081763,NA,NA,3.87786235461802,NA,NA,0.000203426930417279,NA,NA,0.130788362799404,NA,NA,-11.9760191850088,NA,NA,-1.10170306462071,NA,NA,-4.00575732694968,NA,NA,9.15387693426451,NA,NA
"RUPE",10,23,23,"No","Global_unavg",0.0402233121373019,-8.19479331733688,NA,NA,3.22312292839981,NA,NA,0.000186263924032633,NA,NA,0.235415812400972,NA,NA,-13.1161904028644,NA,NA,-1.95432816747536,NA,NA,-4.42195874682828,NA,NA,8.90087156286766,NA,NA
"RUSP",10,15,23,"No","Global_unavg",0.0690039424806311,-1.43069033807597,NA,NA,-2.41813797977027,NA,NA,0.301953842913638,NA,NA,0.237239463142771,NA,NA,-4.48469264177876,NA,NA,-6.55314661311192,NA,NA,1.05946689522148,NA,NA,1.62281055445805,NA,NA
"SOSI",10,48,22,"No","Global_unavg",0.162407491500788,-9.81888433448535,NA,NA,-7.73290696113979,NA,NA,9.20366917859749e-07,NA,NA,0.159996547113011,NA,NA,-14.2078371616974,NA,NA,-20.6022271874006,NA,NA,-6.30368977494644,NA,NA,1.5636722154858,NA,NA
"SPBE",10,17,27,"No","Global_unavg",0.107865949831082,-3.99208000158814,NA,NA,1.8088361483124,NA,NA,0.0313434502030282,NA,NA,0.425080197216128,NA,NA,-8.25689114831659,NA,NA,-2.45764313040506,NA,NA,-0.84428404701457,NA,NA,6.65491711221325,NA,NA
"TITR",10,34,38,"No","Global_unavg",0.05285366152624,-2.84279573756132,NA,NA,0.769258560367427,NA,NA,0.0157739310168057,NA,NA,0.625012965159155,NA,NA,-5.36315039920947,NA,NA,-2.30046964166704,NA,NA,-0.706711301189399,NA,NA,3.93133405369007,NA,NA
"TRBO",10,10,26,"No","Global_unavg",0.20370753407444,-4.16005139126828,NA,NA,0.00295897879116664,NA,NA,0.0929056079931912,NA,NA,0.999284346043036,NA,NA,-10.2872595544665,NA,NA,-6.45084991138418,NA,NA,-0.219395232840592,NA,NA,7.13159816035504,NA,NA
"VASI",10,24,27,"No","Global_unavg",0.174353458826205,-12.9537815753901,NA,NA,2.77175377932743,NA,NA,0.00403556811084853,NA,NA,0.612987176414279,NA,NA,-24.1262206557557,NA,NA,-7.52462270282433,NA,NA,-6.03337095426749,NA,NA,15.0967646880909,NA,NA
"ACCI",100,72,61,"No","Global_unavg",0.250922513698144,-2.93649124225607,NA,NA,0.877956588985457,NA,NA,0.0176028995840494,NA,NA,0.613736359762641,NA,NA,-5.54654299586957,NA,NA,-2.55966804075486,NA,NA,-0.660795958606466,NA,NA,4.32016685297639,NA,NA
"ACGL",100,15,12,"No","Global_unavg",0.0739591474212636,-3.44761529333351,NA,NA,-3.71259335967429,NA,NA,0.0376331766188688,NA,NA,0.29663796858784,NA,NA,-7.1720678214544,NA,NA,-11.9233646000069,NA,NA,-0.565677259885616,NA,NA,2.54524147587989,NA,NA
"AMAL",100,42,46,"No","Global_unavg",0.109135689672418,-3.01813032877973,NA,NA,0.337348136075668,NA,NA,0.0129433143082361,NA,NA,0.837250933415235,NA,NA,-5.62734245645912,NA,NA,-2.87720982407596,NA,NA,-0.823288162179719,NA,NA,3.63123466933648,NA,NA
"ATFI",100,24,29,"No","Global_unavg",0.0797995633985871,-1.69029376987103,NA,NA,-1.22818978621045,NA,NA,0.164731559391425,NA,NA,0.492082185157002,NA,NA,-4.31566137573892,NA,NA,-4.82350667939922,NA,NA,0.519903859547347,NA,NA,2.28901203035413,NA,NA
