"Elevation.m","Elevation.m.poly","Elevation.m2","Elevation.m2.poly"
849,-0.0198924766388511,720801,-0.0240874300398121
828,-0.0215044765390527,685584,-0.0216921149466441
786,-0.0247284763394558,617796,-0.0164328092408163
616,-0.0377779993410876,379456,0.0112384794333715
570,-0.0413090467415291,324900,0.0204859290037585
607,-0.038468856441174,368449,0.0129887800714275
553,-0.0426139990416923,305809,0.0240931667105385
981,-0.00975990583758407,962361,-0.0355664587011548
658,-0.0345539995406845,432964,0.00344981378107993
1164,0.0042875218641725,1354896,-0.0412701356576588
884,-0.0172058101385151,781456,-0.0277324548102833
622,-0.03731742794103,386884,0.0100875536855346
1149,0.00313609336402852,1320201,-0.0412489787906386
1195,0.00666714076447006,1428025,-0.0410612781069476
1372,0.020253997066169,1882384,-0.0333476963315451
1408,0.0230174254665146,1982464,-0.0304206297157585
1564,0.034992281868012,2446096,-0.0124313950307893
2006,0.0689210416722546,4024036,0.085355351395218
1987,0.0674625655720723,3948169,0.0797282866837009
1670,0.0431290432690295,2788900,0.00471120387458414
1600,0.0377557102683575,2560000,-0.00705573794582091
1603,0.0379859959683863,2569609,-0.00658704277461302
1548,0.0337640914678584,2396304,-0.0146732070866116
1518,0.0314612344675705,2304324,-0.0186321707468721
1408,0.0230174254665146,1982464,-0.0304206297157585
1326,0.0167229496657275,1758276,-0.036419717559229
1146,0.00290580766399972,1313316,-0.0412351826107143
1109,6.5617363644568e-05,1229881,-0.0408028831759082
1085,-0.0017766682365858,1177225,-0.0402631601993831
907,-0.0154402864382944,822649,-0.0298914706560479
782,-0.0250355239394942,611524,-0.0158993317905309
636,-0.0362427613408956,404496,0.00745165556698309
656,-0.0347075233407037,430336,0.00380653253793155
679,-0.0329419996404829,461041,-0.00021018128531996
947,-0.0123698104379104,896809,-0.0331999231849839
622,-0.03731742794103,386884,0.0100875536855346
601,-0.0389294278412316,361201,0.0141715885076652
592,-0.039620284941318,350464,0.0159697131783224
558,-0.0422301895416443,311364,0.0230215868810382
503,-0.0464520940421723,253009,0.0352960616338868
1231,0.00943056916481561,1515361,-0.0403915058299379
975,-0.0102204772376417,950625,-0.0351785919623772
311,-0.0611903788440152,96721,0.0865451627720716
335,-0.0593480932437849,112225,0.0794248529096205
1402,0.022556854066457,1965604,-0.0309403568401238
1381,0.0209448541662554,1907161,-0.0326589713069396
1219,0.00850942636470043,1485961,-0.0406657755570491
280,-0.0635699977443128,78400,0.096044229587312
305,-0.0616509502440728,93025,0.0883571229260852
274,-0.0640305691443704,75076,0.0979220806306872
1530,0.0323823772676856,2340900,-0.0170868445088488
1554,0.034224662867916,2414916,-0.0138431551284785
1518,0.0314612344675705,2304324,-0.0186321707468721
1559,0.034608472367964,2430481,-0.0131417032308007
1518,0.0314612344675705,2304324,-0.0186321707468721
