"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Resurvey.Burned.fi.CI.Lower","Resurvey.Unburned.fi.CI.Lower","Elevation.m.Res.Burn.fi.CI.Lower","Elevation.m.Res.Unburn.fi.CI.Lower","Elevation.m2.Res.Burn.fi.CI.Lower","Elevation.m2.Res.Unburn.fi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper","Resurvey.Burned.fi.CI.Upper","Resurvey.Unburned.fi.CI.Upper","Elevation.m.Res.Burn.fi.CI.Upper","Elevation.m.Res.Unburn.fi.CI.Upper","Elevation.m2.Res.Burn.fi.CI.Upper","Elevation.m2.Res.Unburn.fi.CI.Upper"
"ACMI",72,10,20,"Yes","Avg.Confidence",-4.99155555352251,-0.00247568969956162,-1.21719593999259e-06,NA,NA,NA,-0.0124426324046452,-4.56756187887379,-0.0012437106412843,-0.00166251105631226,NA,NA,-1.65912573120104,0.00234239928517929,9.02547024598705e-07,NA,NA,NA,4.09376953919631,2.16309467463991,0.00232995957452451,0.00394209042295052,NA,NA
"AMAL",72,42,44,"No","Avg.Confidence",-4.14905532956469,0.000173794240554301,-4.93006957225951e-06,-0.233624707632071,NA,NA,NA,NA,NA,NA,NA,NA,-0.960969366810837,0.00748161449234795,-1.05250109367915e-06,0.267575691140417,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",72,42,27,"Yes","Avg.Confidence",-3.80328053992723,-0.00209999544742404,-2.90130579983036e-06,NA,NA,NA,-1.48235773134684,-3.15326846392016,-0.00125074368458324,-0.00106493859664688,NA,NA,-0.402169086724534,0.0050314084535446,5.34058213936673e-07,NA,NA,NA,1.94794931813621,0.495271685426067,0.00183893568534816,0.00243553002020457,NA,NA
"ATFI",72,24,29,"No","Avg.Confidence",-3.95768088228986,-0.00368634018763076,-3.53273864520012e-06,-0.28204261655124,NA,NA,NA,NA,NA,NA,NA,NA,0.0011164901605949,0.00525045738564453,9.93476923022214e-07,0.38607119606127,NA,NA,NA,NA,NA,NA,NA,NA
"CAME",72,32,27,"No","Avg.Confidence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",72,33,25,"Yes","Avg.Confidence",-6.74866103145812,0.0019216823626335,-4.89058559948554e-06,NA,NA,NA,-0.159457141361934,-1.11018882895015,NA,NA,NA,NA,-2.69853453973903,0.00996958378672337,-1.18768307099181e-06,NA,NA,NA,1.82692658382492,0.0767553657578038,NA,NA,NA,NA
"CEVE",72,26,20,"Yes","Avg.Confidence",-9.12209162550754,0.00380023158209279,-6.66142097813859e-06,NA,NA,NA,-0.395199843742151,-3.543098207182,-0.00126087315940245,-0.00144427526103259,NA,NA,-3.81703596140574,0.0139803059873848,-1.96678886842015e-06,NA,NA,NA,3.34067134330639,0.829273473025017,0.00195453997632894,0.00246039870404955,NA,NA
"CHUM",72,61,48,"No","Avg.Confidence",-5.97343189512922,0.00391322503014489,-7.56549026495788e-06,-1.87451633683853,-0.00379017785286388,-2.56438478793524e-06,NA,NA,NA,NA,NA,NA,-2.16358685355632,0.0125659241648048,-2.91230321086298e-06,1.64420988354535,0.0040697756042243,1.99751697446601e-06,NA,NA,NA,NA,NA,NA
"CLUN",72,44,47,"No","Avg.Confidence",-9.39013835646301,0.00814406801106874,-9.71629162864528e-06,-0.231914827745477,NA,NA,NA,NA,NA,NA,NA,NA,-4.76585750403243,0.0181669020309283,-4.56958449808894e-06,0.282643654421948,NA,NA,NA,NA,NA,NA,NA,NA
"COCA",72,20,20,"No","Avg.Confidence",-6.31454474042686,-0.000605066597117464,-6.79564208685209e-06,-0.335227370287616,NA,NA,NA,NA,NA,NA,NA,NA,-1.479429539996,0.0107143476881572,-5.89546909168144e-07,0.337923954765972,NA,NA,NA,NA,NA,NA,NA,NA
"EPAN",72,18,27,"Yes","Avg.Confidence",-7.79146578326171,0.00121130167340549,-4.4626390198092e-06,NA,NA,NA,1.59961099297271,-0.811776140105101,NA,NA,NA,NA,-3.22088984120034,0.00982434279714091,-6.77586687453124e-07,NA,NA,NA,3.37119701110544,0.609780866145195,NA,NA,NA,NA
"GAOV",72,11,8,"No","Avg.Confidence",-18.3840368388922,0.00607573475400721,-1.3098973926854e-05,-0.71188442720771,NA,NA,NA,NA,NA,NA,NA,NA,-6.15135506396433,0.0290030644796747,-2.73167993503797e-06,0.502028256002261,NA,NA,NA,NA,NA,NA,NA,NA
"GASH",72,21,23,"No","Avg.Confidence",-1.21817058578586,-0.00699007325222733,-2.7567061599364e-06,-0.28038676662872,NA,NA,NA,NA,NA,NA,NA,NA,1.65362800394375,0.000399840878360644,1.9225937581552e-06,0.325014930775132,NA,NA,NA,NA,NA,NA,NA,NA
