"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","P.Intercept","P.Elevation.m","P.Elevation.m2","P.Data.Type.nofi","P.Data.Type.Elevation.m.nofi","P.Data.Type.Elevation.m2.nofi","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper"
"GYDR",61,17,23,"No","Global_unavg",0.0679976331478018,-4.0602319730225,0.00441623458467154,-3.00891606447404e-06,-1.32419815723926,0.00272531493919352,-8.46435299055273e-07,0.0227901032155802,0.267418222601149,0.142856897184452,0.595900675545484,0.61347314393469,0.754410939220922,-8.11400121096569,-0.00244207548425787,-7.83705005821214e-06,-6.28522199274863,-0.00833592627073042,-6.11140018423634e-06,-1.00266995800558,0.0134699365615924,3.96241258208579e-07,3.74107650586015,0.0133285662836728,4.8498464283843e-06
"HIAL",61,12,9,"No","Global_unavg",0.0649978402520609,-4.02669499999567,0.00346040154354181,-2.51064263176287e-06,1.05131850873288,-0.00274633098675854,1.14623571435824e-06,0.0443762810194631,0.438210541043498,0.271397585719539,0.710054056587923,0.669149657735443,0.730124612720747,-8.69107776943533,-0.00412227879823564,-8.03645474368047e-06,-4.75083844634547,-0.0157433723827838,-5.98692163408515e-06,-0.659120786164991,0.0138404374761151,1.2001381716537e-06,6.80165907925248,0.0105500211577087,7.91556363511588e-06
"HODI",61,17,7,"No","Global_unavg",0.165232910302188,-2.81113455327207,0.00313309323742466,-3.44303111726052e-06,0.814021840614804,NA,NA,0.0940827419572372,0.467523100024394,0.191983548200424,0.606052006025497,NA,NA,-6.64916625120074,-0.00407515885404543,-9.87431093036114e-06,-2.14844253044713,NA,NA,0.0563277676189287,0.0131375122144826,6.65110962082409e-07,4.13022441856117,NA,NA
"LIBO",61,48,64,"No","Global_unavg",0.211536756017462,-5.43148845887481,0.0116798387321978,-7.5891701242203e-06,1.05680206831768,-0.000497625591021651,-4.36423576626056e-07,0.000597052395487121,0.00239968828951998,0.00066769364045247,0.615758458488183,0.924503537736643,0.889111572233111,-8.88366542255834,0.0049255936152983,-1.25540096823981e-05,-3.04095275748481,-0.011070312532514,-6.62718514956391e-06,-2.63597778191247,0.0201059301871967,-3.75976610613818e-06,5.31891862929999,0.00979028420141207,5.85036483297407e-06
"MANE",61,61,56,"No","Global_unavg",0.257068787229667,-4.21683661421826,0.0119353308967485,-9.40210645094126e-06,0.0221440239664053,-0.000590737664593649,5.14905567052509e-07,0.00527584122874291,0.00414507674263875,0.000677564493555961,0.99178280002996,0.920171663046134,0.89489785764178,-7.47452365878463,0.00455688830774196,-1.55146289284163e-05,-4.25924262618604,-0.0122817643534211,-7.26877799603168e-06,-1.50011989044115,0.0209749986125538,-4.6243991391739e-06,4.27908801007106,0.0111462919123576,8.28090870487831e-06
"MEFE",61,26,13,"No","Global_unavg",0.0423819440574955,-4.18447779350177,0.00255038359747055,-8.64743145539392e-07,-5.16671131982753,0.00835021555257546,-3.5020317620498e-06,0.00344356197378159,0.322524194354064,0.413525968020682,0.12275771780245,0.153069370264243,0.146265497430949,-7.29749189236025,-0.00218153832908405,-3.09835255792802e-06,-12.709941527229,-0.00214404673959046,-8.81404669490964e-06,-1.64042190066333,0.00800708934581072,1.08293956661565e-06,0.747747513105991,0.0212315566269885,8.22161740474654e-07
"OPHO",61,29,14,"No","Global_unavg",0.156412997493092,-0.476694350705156,-0.00161149233818354,-6.0247774747923e-07,-13.7518848727823,0.026526107094592,-1.20796763497705e-05,0.668298330688803,0.548062917826564,0.678764609107175,0.00357037646248547,0.00791876826973347,0.0181205289752172,-2.83464369929252,-0.00653323138690446,-3.92524293558207e-06,-24.8532242847296,0.00996635671994245,-2.40916950263609e-05,1.59282312185448,0.00416459263541997,1.91076846774964e-06,-6.00673757814146,0.0498509455275463,-3.64296105072431e-06
"POMU",61,20,10,"No","Global_unavg",0.190710811138619,0.903939942315865,-0.00551360411412422,9.01473057163891e-07,-2.67239798496458,0.00483188669194796,-2.47438672662514e-06,0.459505624203079,0.0825589648713171,0.622886204679054,0.239671592269087,0.425687760516531,0.506943783788598,-1.69002434435425,-0.0113475842725007,-3.73031393875638e-06,-7.78525652292419,-0.00616175561217884,-1.19362245536418e-05,3.21354443484589,0.00155296170559399,3.91074873955816e-06,1.47605345780962,0.0189053204095852,4.15078023485069e-06
"PTAQ",61,47,23,"No","Global_unavg",0.100557650040238,-2.74106709139396,0.00420188841952408,-2.99837220389288e-06,-0.597732238367804,-0.00118620518930939,9.52040261786139e-07,0.0131693056519917,0.090076266947105,0.0190139007172209,0.739649884324056,0.762070892134465,0.625338265028005,-5.08845187308507,-0.000313434545594923,-5.78355296270842e-06,-4.29492953222317,-0.00876461670622461,-3.03790539609126e-06,-0.719788328570172,0.00948036451824476,-7.29356482901482e-07,2.85140261275229,0.00680004348136935,4.75060498279342e-06
"RULA",61,18,13,"No","Global_unavg",0.184418405272989,-27.1983603497135,0.0357389863612152,-1.24701659452319e-05,8.31894695545732,-0.0123630654182395,4.29515241107104e-06,0.00198926159982006,0.00428181684934209,0.00459740263592679,0.452261820804994,0.436565991853618,0.445928247592008,-48.690029685037,0.0162789147548046,-2.30269765385566e-05,-13.6654651175511,-0.0465823362394866,-6.88624481227041e-06,-13.7720262187335,0.0659561705280811,-5.54518173232e-06,32.4071125579359,0.0191545718231239,1.63443920285082e-05
